b' ',b' ',b' ',b' ',b' '
b'Tue Apr 17 02:03:13 +0000 2018',986062493817720834,152777701,b'#BuildTheWall',"b'@K_keSlammer88 @RevengeCoach @skinnypresident Use this same logic on @BarackObama with #Islam. Walk me through it, please.'"
b' ',b' ',b' ',b' ',b' '
b'Tue Apr 17 02:03:14 +0000 2018',986062498779496450,597046933,b'Lizzy Lou Who',b'RT @TheMorningSpew: #ShePersisted #TheResistance https://t.co/lohRoIJ5IJ'
b'Tue Apr 17 02:03:18 +0000 2018',986062517419106304,3193073724,b'Silence of the Dems (\xd0\x9f\xd0\xb8\xd1\x82\xd1\x80 \xd0\x94\xd1\x83\xd1\x88) \xf0\x9f\x90\xbc\xf0\x9f\x8c\xbd',"b'RT @_SemaHernandez_: Hey @DebraMessing where the fuck were you when #Flint, #NoDAPL, #Yemen, #TPP, #MassIncarceration #Deportation were hap\xe2\x80\xa6'"
b'Tue Apr 17 02:03:20 +0000 2018',986062523764850688,2713556066,b'Andre Rucker',b'RT @CHHolte: @Rockhillapache @adair1946 @ERMA_____ @Willis_Hubbard_ @Irysdawn @Lololupus @rainrainrain77 @elaineyvette1 @andrerucker51 @lin\xe2\x80\xa6'
b'Tue Apr 17 02:03:20 +0000 2018',986062523890917376,2509156808,b'TinkThinks',"b'#HannityCohen  ,@seanhannity .@HillaryClinton  .@BarackObama  .@Comey  .@POTUS  .@IngrahamAngle  .@TheEllenShow .\xe2\x80\xa6 https://t.co/2noAs7iu8y'"
b'Tue Apr 17 02:03:21 +0000 2018',986062527489552384,809213634,b'Camille G tine',b'RT @becky_avon3985: #ReleaseTheHRCVideo #ReleaseTheVideo #HillaryClinton\n#QAnons  #Qanon8chan #MAGA #tarmac https://t.co/iIWMFYKzPL'
b'Tue Apr 17 02:03:21 +0000 2018',986062529435664384,339438465,b'Total Information',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 02:03:21 +0000 2018',986062529637027840,2782720995,b'Katie Miller',"b'RT @fbc1955: @TuckerCarlson @MarkSteynOnline if @Comey was so concerned about @POTUS not mentioning #Putin in a private meeting, wonder wha\xe2\x80\xa6'"
b'Tue Apr 17 02:03:26 +0000 2018',986062548003729409,3038444581,b'Louise Adams',"b'RT @EvilEsq: There, @JeffSessions, now you can prosecute @HillaryClinton.\n#LockHerUp https://t.co/IqXLYGIlFX'"
b'Tue Apr 17 02:03:26 +0000 2018',986062549341884416,1554374203,b'futureapples',"b'#TimePhoneHack \nThose that have the confidence,that their decisions will be deemed necessary for and by the the goo\xe2\x80\xa6 https://t.co/2j6MgAoZEa'"
b'Tue Apr 17 02:03:30 +0000 2018',986062566282727425,878472517408698368,b'PoliticsDen',"b'RT @_SemaHernandez_: Hey @DebraMessing where the fuck were you when #Flint, #NoDAPL, #Yemen, #TPP, #MassIncarceration #Deportation were hap\xe2\x80\xa6'"
b' ',b' ',b' ',b' ',b' '
b'Tue Apr 17 02:03:32 +0000 2018',986062574474018817,777980271278694400,b'pat gunn',"b""@PlowPlot @DNC @HillaryClinton Let's review: Bernie knew he was the beneficiary of a hostile governments takeover o\xe2\x80\xa6 https://t.co/d6IaL0iWyY"""
b'Tue Apr 17 02:03:32 +0000 2018',986062575187050497,759919784439877632,b'Wanda Sebestin',b'RT @atensnut: Once again.... Comey is helping dig Hillary\xe2\x80\x99s grave Deeper.  This idiot doesn\xe2\x80\x99t know when to be quite.  His EGO is bigger tha\xe2\x80\xa6'
b'Tue Apr 17 02:03:37 +0000 2018',986062595005210625,899823425799176192,b'talking7stick',"b'RT @dekdarion: Among their many other crimes, @hillaryclinton and @DNC were laundering campaign money through state chapters. Now the FEC i\xe2\x80\xa6'"
b'Tue Apr 17 02:03:40 +0000 2018',986062606044684288,954343595070443520,b'jana mayberry',b'RT @KrisParonto: And the core of your book Jim is based on integrity ??? What exactly is your definition of integrity Jim?? @Comey @Hillary\xe2\x80\xa6'
b'Tue Apr 17 02:03:40 +0000 2018',986062607755837440,121273872,b'ben campen',b'This is unbelievable and sickening what kind of creatures do things like this They can not be called a man rather a\xe2\x80\xa6 https://t.co/DmFS6ZLboo'
b'Tue Apr 17 02:03:42 +0000 2018',986062614911438849,941998609846951936,b'james.rankine.phone@gmail.com',b'RT @PoliticalShort: Even more inappropriate is the fact that Comey drafted &amp; circulated a statement exonerating Hillary 2 months before the\xe2\x80\xa6'
b'Tue Apr 17 02:03:42 +0000 2018',986062616773709824,705362883945697280,b'MN #2A Patriot',b'#LockEMup #CheatingObama #McCabe #Strzok #Page #Rosenstein #Mueller\n\n@Comey @HillaryClinton @BarackObama\xe2\x80\xa6 https://t.co/t2q3MGyerL'
b'Tue Apr 17 02:03:44 +0000 2018',986062624617005056,1902547531,b'swagner',b'RT @ArthurSchwartz: \xe2\x80\x9cThe @HillaryClinton Campaign and the @DNC allegedly used state chapters as strawmen to launder as much as $84 million\xe2\x80\xa6'
b'Tue Apr 17 02:03:45 +0000 2018',986062629272784897,58707863,b'Spud uLike',b'@HillaryClinton Thank you for bringing a level of respect and decorum to the conversation. @realDonaldTrump learn something.'
b'Tue Apr 17 02:03:46 +0000 2018',986062633077039104,867491673068011521,b'watchmansbelle',b'RT @Lozv1: @watchmansbelle @KyleKashuv @Terpsicore333 @HillaryClinton The majority did speak! They said Clinton. Sadly the electoral colleg\xe2\x80\xa6'
b'Tue Apr 17 02:03:47 +0000 2018',986062637229322240,205007840,b'Zach Ritchey',"b""RT @JordanChariton: Ed Schultz says @msnbc fired him for supporting @BernieSanders and that network president told him he couldn't broadcas\xe2\x80\xa6"""
b'Tue Apr 17 02:03:47 +0000 2018',986062639188000768,385506069,b'{deadletters}',b'Today we learned @seanhannity is a client to @MichaelCohen212. Two inc related to Russia inv are A) @DonaldJTrumpJr\xe2\x80\xa6 https://t.co/rxeeMXeznz'
b'Tue Apr 17 02:03:50 +0000 2018',986062648595935233,25065023,b'Cece \xf0\x9f\x87\xba\xf0\x9f\x87\xb8',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 02:03:51 +0000 2018',986062653582954496,785706796019179520,b'BrockroachSlayer',"b""RT @JordanChariton: Ed Schultz says @msnbc fired him for supporting @BernieSanders and that network president told him he couldn't broadcas\xe2\x80\xa6"""
b'Tue Apr 17 02:03:51 +0000 2018',986062654161801216,20846517,b'Matthew Cogdeill',b'RT @Matthewcogdeill: @BarackObama @POTUS @FBI @GOP @jeffsessions @StateDept @HouseGOP @TeamTrump \xf0\x9f\x93\xa3#RETWEET \xf0\x9f\x93\xa3\nDemocrats support Barry Hussei\xe2\x80\xa6'
b'Tue Apr 17 02:03:51 +0000 2018',986062654396563456,1573585807,b'Trumponly!',b'RT @ArthurSchwartz: \xe2\x80\x9cThe @HillaryClinton Campaign and the @DNC allegedly used state chapters as strawmen to launder as much as $84 million\xe2\x80\xa6'
b'Tue Apr 17 02:03:51 +0000 2018',986062655243730944,984911692755755008,b'Debi Levine',b'RT @AlexLondonUK: @HillaryClinton \n@realDonaldTrump \n\nWhich one will Lady Justice pick?\nBenghazi? \nUranium 1? \nTreason? \nEmail Scandal? \nCl\xe2\x80\xa6'
b'Tue Apr 17 02:03:54 +0000 2018',986062664685137920,971079980028317697,b'Christine Martin',"b""Who da fuck has 8 lawyers at one time?  K, I have 2, but one's for my estate and one's for my son.  Damn, he's guil\xe2\x80\xa6 https://t.co/f86OlaneZ8"""
b'Tue Apr 17 02:03:54 +0000 2018',986062667965054976,826939746056359937,b'Paul newman',b'RT @benfcampen: This is unbelievable and sickening what kind of creatures do things like this They can not be called a man rather a sick cr\xe2\x80\xa6'
b'Tue Apr 17 02:03:55 +0000 2018',986062668950917121,1311733651,b'L\xe2\x80\xa2W\xe2\x80\xa2B  \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6',"b'RT @peacevision: @RobertRocklein @DanDeFreest @Cheekee996 @HillaryClinton Or they inherit money, get big tax cuts, rig the system in their\xe2\x80\xa6'"
b'Tue Apr 17 02:03:55 +0000 2018',986062669177290752,64044550,b'Justice for Seth',b'RT @AlexLondonUK: @HillaryClinton \n@realDonaldTrump \n\nWhich one will Lady Justice pick?\nBenghazi? \nUranium 1? \nTreason? \nEmail Scandal? \nCl\xe2\x80\xa6'
b' ',b' ',b' ',b' ',b' '
b'Tue Apr 17 02:03:55 +0000 2018',986062671194787840,931753279008247809,b'FACEMECOWARD',b'@KatyTurNBC @MSNBC @CNN @AriMelber @CoryBooker @KamalaHarris @FBI @chrislhayes @maddow @PhilMurphyNJ @MaddowBlog\xe2\x80\xa6 https://t.co/6ah4JRn7rA'
b'Tue Apr 17 02:03:55 +0000 2018',986062671798849536,1618794644,b'Tom P',b'@JanetMaxLive @TheJuanWilliams @Comey @HillaryClinton  https://t.co/x7SnG3fnse'
b'Tue Apr 17 02:03:57 +0000 2018',986062679700852737,936610942493843456,b'Dr. Wilk MD/PhD  Infectious disease/research',b'RT @DanDeFreest: @HillaryClinton Interesting how a former First Lady expresses her feelings while the current first lady is one-again silen\xe2\x80\xa6'
b'Tue Apr 17 02:03:58 +0000 2018',986062682297167872,907432001032073222,b'AuntieKristin',"b""@HillaryClinton Thank you for your kind and eloquent words. There are times when politics and partisanship don't ma\xe2\x80\xa6 https://t.co/80BKb28qnO"""
b'Tue Apr 17 02:03:58 +0000 2018',986062685233020928,976960270139641856,b'Mario Lopez',b'@HillaryClinton I leke it'
b'Tue Apr 17 02:03:59 +0000 2018',986062686025846784,1931229312,b'Marlene Bloom',b'@jaycee045 @BillofRightsKin @arenasummit @HillaryClinton I am sure you heard that on fox or the radio crazies.  Sen\xe2\x80\xa6 https://t.co/2LoR3vmgg9'
b'Tue Apr 17 02:04:00 +0000 2018',986062692308996096,776146242657148929,b'Spencer',"b""@zver223356 @WTPfloatgirl @bj_bjshaven @FoxNews @HillaryClinton @seanhannity Mr. Moron is back oh you got me I'm a\xe2\x80\xa6 https://t.co/NzX51Dy37A"""
b'Tue Apr 17 02:04:03 +0000 2018',986062705462095878,3327420822,b'Jackson Steele',b'...is there an injured party?\n@HillaryClinton https://t.co/AIoZoDsfAP'
b'Tue Apr 17 02:04:04 +0000 2018',986062709878919168,18705291,b'#Tarmack: SC murder!',b'RT @LauraLaura1650: @fixurheart2016 @qanon76 @kate_gorney @BillClinton @HillaryClinton  https://t.co/dLuHVsBccy'
b'Tue Apr 17 02:04:08 +0000 2018',986062723728527361,2225531784,b'Antitrust',b'RT @NomikiKonst: .@CynthiaNixon releases her response to @NYGovCuomo\xe2\x80\x99s claim that he\xe2\x80\x99s \xe2\x80\x9clock step with @BernieSanders\xe2\x80\x9d by showing his own w\xe2\x80\xa6'
b'Tue Apr 17 02:04:08 +0000 2018',986062723887714306,34339467,b'PHYLLIS FINNEGAN',b'RT @flybull1: \xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\xf0\x9f\x9a\xa8\n\nSomebody... ANYBODY...  Please just LOCK THIS BITCH UP ALREADY...!!!!\n\n\xf0\x9f\x91\xae\xf0\x9f\x94\x92\xf0\x9f\x91\xae\xf0\x9f\x94\x92\xf0\x9f\x91\xae\xf0\x9f\x94\x92\xf0\x9f\x91\xae\xf0\x9f\x94\x92\xf0\x9f\x91\xae\n\n#MAGA #LockHerUp #CrookedHillary\xe2\x80\xa6'
b'Tue Apr 17 02:04:08 +0000 2018',986062726190567425,707684377,b'IrRESISTible',b'@HillaryClinton Dignified and elegant message'
b'Tue Apr 17 02:04:09 +0000 2018',986062729340440576,9322332,b'LynxReSiStS',b'@doscious1967 @BossyLadySunday @kidd_whitey @biffblisters @UsedProletariat @TEK_OG @Gr8Melin @cat42758 @AlwaysMe_84\xe2\x80\xa6 https://t.co/T1c3uD2Xnj'
b'Tue Apr 17 02:04:10 +0000 2018',986062732691693568,171303406,b'\xe1\xb9\x99\xe1\xb9\xb3\xe1\xb8\x83\xe1\xb8\xad \xe1\xb8\xa7.',"b'RT @_SemaHernandez_: Hey @DebraMessing where the fuck were you when #Flint, #NoDAPL, #Yemen, #TPP, #MassIncarceration #Deportation were hap\xe2\x80\xa6'"
b'Tue Apr 17 02:04:11 +0000 2018',986062737603166208,23727359,"b""Budd's Voice""","b'@Peter99cs @cookmichaelv13 @ARmastrangelo @BarackObama Correct Peter, we want it to swing low, very low as the econ\xe2\x80\xa6 https://t.co/qqMqOKplZm'"
b'Tue Apr 17 02:04:14 +0000 2018',986062749842128896,4805891677,b'MountainGirl  U S',"b'RT @MagniFieri: List of Elites who abused power in an attempt to derail &amp; cripple @POTUS, Donald Trump\n\n@HillaryClinton\n@BarackObama\nJames\xe2\x80\xa6'"
b'Tue Apr 17 02:04:17 +0000 2018',986062762219458560,109346842,b'Phil the Stable Genius',"b'RT @AshaRangappa_: Hi @MariaBartiromo: HRC had an active investigation on her, so all of the interactions in her case would have been docum\xe2\x80\xa6'"
b' ',b' ',b' ',b' ',b' '
b'Tue Apr 17 02:04:18 +0000 2018',986062765390413825,879085085202423808,b'Raetass',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 02:04:22 +0000 2018',986062782599704576,2509156808,b'TinkThinks',"b'#HannityCohen  ,@seanhannity .@HillaryClinton  .@BarackObama  .@Comey  .@POTUS  .@IngrahamAngle  .@TheEllenShow .\xe2\x80\xa6 https://t.co/e3yil92m59'"
b'Tue Apr 17 02:04:26 +0000 2018',986062801281011714,967559420887449600,b'\xe0\xa4\xb8\xe0\xa5\x8b\xe0\xa4\xb9\xe0\xa4\xa8',b'RT @SandhyaDas20: #WakeUpModi\n#\xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\x9f\xe0\xa5\x80_\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x87_\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xab \n\xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xa6\xe0\xa5\x80 \xe0\xa4\x9c\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa5\x82\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\xa4 \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb2 \xe0\xa4\x9c\xe0\xa5\x80 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9c \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xb8\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\x97 \xe0\xa4\xb8\xe0\xa4\xad\xe0\xa5\x80 \xe0\xa4\x9f\xe0\xa5\x80\xe0\xa4\xb5\xe0\xa5\x80 \xe0\xa4\x9a\xe0\xa5\x88\xe0\xa4\xa8\xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\x9a\xe0\xa4\xb2\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96\xe0\xa5\x8b \xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\xaa \xe0\xa4\xa4\xe0\xa5\x8b\xe2\x80\xa6'
b'Tue Apr 17 02:04:27 +0000 2018',986062805399941122,15000238,b'Dawn Ennis',"b'@gomer2323 @kingaugustus @billritter7 @GStephanopoulos @HillaryClinton Sir, you are mistaken. George\xe2\x80\x99s donation was\xe2\x80\xa6 https://t.co/9fuw0tAGcc'"
b'Tue Apr 17 02:04:28 +0000 2018',986062809187446784,707684377,b'IrRESISTible',"b""RT @DanDeFreest: @Cheekee996 @HillaryClinton Actually, she's waiting for Michelle to put out a statement so she can steal it."""
b'Tue Apr 17 02:04:28 +0000 2018',986062809246175234,323652862,b'THEonlyHULK\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbd',b'This what trump got America doing @BarackObama come back please https://t.co/S4tA1RjqTB'
b'Tue Apr 17 02:04:28 +0000 2018',986062810701479936,188390386,b'Christopher A. Bosak',b'RT @OurLadyCovfefe: @HillaryClinton Pedophiles should not be allowed to talk children.'
b'Tue Apr 17 02:04:30 +0000 2018',986062817282310144,1130244464,b'Sabel',"b'.@Comey   Is it POSSIBLE .@HillaryClinton has ""goods"" on \n\nyou?   Could there be some extortion in your hadred?'"
b'Tue Apr 17 02:04:30 +0000 2018',986062817475416065,936610942493843456,b'Dr. Wilk MD/PhD  Infectious disease/research',b'RT @DanDeFreest: @Cheekee996 @HillaryClinton  https://t.co/ECJUFabesa'
b'Tue Apr 17 02:04:30 +0000 2018',986062818532315138,886603383699898369,b'Col S',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 02:04:31 +0000 2018',986062822692995072,188390386,b'Christopher A. Bosak',b'RT @rikki_heinis: @HillaryClinton Hey Hillary! #frazzledrip Gotcha! https://t.co/92G4bhWM7l'
b'Tue Apr 17 02:04:32 +0000 2018',986062826757173248,985306622665920517,b'Anne McCune',b'RT @surfermom77: HE WENT THERE=&gt;Twitter Erupts After\nPatriotic actor @RealJamesWoods asked anyone who attended Columbia University &amp; recall\xe2\x80\xa6'
b'Tue Apr 17 02:04:33 +0000 2018',986062830838452225,828105812153421824,b'Blue State',b'RT @DanDeFreest: @HillaryClinton Interesting how a former First Lady expresses her feelings while the current first lady is one-again silen\xe2\x80\xa6'
b'Tue Apr 17 02:04:34 +0000 2018',986062832633565187,18705291,b'#Tarmack: SC murder!',b'RT @LauraLaura1650: @qanon76 @BillClinton @HillaryClinton  https://t.co/dmHHsW7CnU'
b'Tue Apr 17 02:04:34 +0000 2018',986062833623490560,20846517,b'Matthew Cogdeill',b'RT @Matthewcogdeill: \xf0\x9f\x93\xa3#RETWEET To MAKE THIS GO VIRAL\xf0\x9f\x93\xa3\nMCCABE LIED UNDER OATH: The @BarackObama -appointed Inspector General found that Andr\xe2\x80\xa6'
b'Tue Apr 17 02:04:34 +0000 2018',986062834130862080,873943716884500480,b'StormyT \xf0\x9f\x8d\x80',"b'RT @JohnWHuber: So glad @BarackObama said to do things ""by the book"" (twice)\n\nI\'d hate to see @JohnBrennan out of control'"
b'Tue Apr 17 02:04:34 +0000 2018',986062835393347584,188390386,b'Christopher A. Bosak',"b'RT @dekdarion: Among their many other crimes, @hillaryclinton and @DNC were laundering campaign money through state chapters. Now the FEC i\xe2\x80\xa6'"
b'Tue Apr 17 02:04:39 +0000 2018',986062855211573248,884833700491427844,b'Theresa Gavitt',"b'More on the #Clintons @BillClinton and @HillaryClinton it never STOPS....,,,,, @AGJeffBSessions @JusticeOIG\xe2\x80\xa6 https://t.co/v3IrXY0b36'"
b'Tue Apr 17 02:04:41 +0000 2018',986062863159603200,828527846,b'Lianne',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 02:04:42 +0000 2018',986062868918521856,221571191,b'NancyR',"b'@HillaryClinton @geokaren You are a class act, Hillary Clinton!'"
b'Tue Apr 17 02:04:43 +0000 2018',986062872584359937,478007109,b'Angela.Kay',"b"".@HillaryClinton According to you, women vote the way the men in their lives tell them to. Didn't James @Comey's wi\xe2\x80\xa6 https://t.co/sv4tg2eCre"""
b'Tue Apr 17 02:04:44 +0000 2018',986062874111021057,717450863543984129,b'goofy head ass',b'OMG!!! @BarackObama RETWEETED ONE OF MY TWEETS!!! IM FREAKING OUT https://t.co/IO8m9bmMeF'
b'Tue Apr 17 02:04:44 +0000 2018',986062877311356928,1576345027,b'TheDustbinOfHistory',b'@adamcbest @CuntyLiberal Biggest differences are that @BarackObama  won 2 terms fair and square and @maddow is an actual journalist.'
b' ',b' ',b' ',b' ',b' '
b'Tue Apr 17 02:04:45 +0000 2018',986062879777439750,975347571001507840,b'Leela Dasi',b'RT @SandhyaDas20: #WakeUpModi\n#\xe0\xa4\xac\xe0\xa5\x87\xe0\xa4\x9f\xe0\xa5\x80_\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\x82\xe0\xa4\x97\xe0\xa5\x87_\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xb8\xe0\xa4\xbe\xe0\xa4\xab \n\xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xa6\xe0\xa5\x80 \xe0\xa4\x9c\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa5\x82\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\xa4 \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\xae\xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xb2 \xe0\xa4\x9c\xe0\xa5\x80 \xe0\xa4\xae\xe0\xa4\xb9\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9c \xe0\xa4\x95\xe0\xa4\xbe \xe0\xa4\xb8\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb8\xe0\xa4\x82\xe0\xa4\x97 \xe0\xa4\xb8\xe0\xa4\xad\xe0\xa5\x80 \xe0\xa4\x9f\xe0\xa5\x80\xe0\xa4\xb5\xe0\xa5\x80 \xe0\xa4\x9a\xe0\xa5\x88\xe0\xa4\xa8\xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\xaa\xe0\xa4\xb0 \xe0\xa4\x9a\xe0\xa4\xb2\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xb0 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96\xe0\xa5\x8b \xe0\xa4\xb0\xe0\xa5\x87\xe0\xa4\xaa \xe0\xa4\xa4\xe0\xa5\x8b\xe2\x80\xa6'
b'Tue Apr 17 02:04:46 +0000 2018',986062884043182080,267188594,b'paul v smith',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 02:04:47 +0000 2018',986062890296922113,911858336462651393,b'Dharmendra',b'RT @Neelamdasi1: #Ambedkarjayanti All political parties have started  to throw mud over each other instead they shoud unite to  punish the\xe2\x80\xa6'
b'Tue Apr 17 02:04:49 +0000 2018',986062897712386048,2509156808,b'TinkThinks',"b'#HannityCohen  ,@seanhannity .@HillaryClinton  .@BarackObama  .@Comey  .@POTUS  .@IngrahamAngle  .@TheEllenShow .\xe2\x80\xa6 https://t.co/9vIoXhP3We'"
b'Tue Apr 17 02:04:50 +0000 2018',986062899914428417,447544671,b'David',b'RT @Matthewcogdeill: \xf0\x9f\x93\xa3#RETWEET To MAKE THIS GO VIRAL\xf0\x9f\x93\xa3\nMCCABE LIED UNDER OATH: The @BarackObama -appointed Inspector General found that Andr\xe2\x80\xa6'
b'Tue Apr 17 02:04:50 +0000 2018',986062903299239937,93664654,b'MoreThanAPundit',b'RT @itsedwardoz: @ObamaFoundation @BarackObama Miss you Mr President'
b'Tue Apr 17 02:04:51 +0000 2018',986062903840096256,34245009,b'India TV',b'#NewsAlert| Wrestler @WrestlerSushil &amp; #SumitMalik meet #BabaRamdev in #Delhi. Both the wrestlers won Gold medals r\xe2\x80\xa6 https://t.co/LE2pE2j21V'
b'Tue Apr 17 02:04:51 +0000 2018',986062906516234241,32433496,b'Patricia',"b""@DanDeFreest @HillaryClinton She hasn't a clue who Barbara Bush is. Sad."""
b'Tue Apr 17 02:04:52 +0000 2018',986062909888344064,188390386,b'Christopher A. Bosak',b'RT @AlexLondonUK: @HillaryClinton \n@realDonaldTrump \n\nWhich one will Lady Justice pick?\nBenghazi? \nUranium 1? \nTreason? \nEmail Scandal? \nCl\xe2\x80\xa6'
b'Tue Apr 17 02:04:53 +0000 2018',986062913176825856,514840946,b'WilliePete',b'RT @ArthurSchwartz: \xe2\x80\x9cThe @HillaryClinton Campaign and the @DNC allegedly used state chapters as strawmen to launder as much as $84 million\xe2\x80\xa6'
b'Tue Apr 17 02:04:53 +0000 2018',986062913889648640,936610942493843456,b'Dr. Wilk MD/PhD  Infectious disease/research',b'RT @PalmerReport: @HillaryClinton Hillary Clinton is the rightfully elected President of the United States.'
b'Tue Apr 17 02:04:54 +0000 2018',986062919124291585,772204864654942208,b'Wendy #RevStrong',"b""RT @REALtrumpbureau: @HILLARYCLINTON IS A #CHEAT !\nIT'S TIME TO #HANGHER ONCE AND FOR ALL !  \n#CROOKEDHILLARY, @DNC, &amp; @THEDEMOCRATS ARE NO\xe2\x80\xa6"""
b'Tue Apr 17 02:04:56 +0000 2018',986062925306777600,24040708,b'outlaw sixty',b'@MaineMiiarty @BarackObama Sorry @MaineMiiarty ...I was slow getting your point....#BrainBlock  \xf0\x9f\x98\x82'
b'Tue Apr 17 02:04:57 +0000 2018',986062929765257217,1129458678,b'John Whyman',b'Conservative friends:  @HillaryClinton does not want you to share https://t.co/nGwA94UGtp. And @BarackObama would n\xe2\x80\xa6 https://t.co/6ndqTB4LoL'
b'Tue Apr 17 02:04:57 +0000 2018',986062932348940288,1902547531,b'swagner',b'RT @seanhannity: Another question @GStephanopoulos are you concerned your Pal @HillaryClinton paid a foreign national (Steele) for Russian\xe2\x80\xa6'
b'Tue Apr 17 02:05:00 +0000 2018',986062943727988736,349065199,b'Hollywood InkSlinger',b'RT @HarryGrammer: Being civically engaged is at the core of the work that I do. 20k people from 191 countries applied. From that amazing po\xe2\x80\xa6'
b'Tue Apr 17 02:05:00 +0000 2018',986062944025772032,942191923103592448,b'Awake Participant',"b'@HillaryClinton The world is better off without her, as we will be without you. \n\nTick-Tock, Hillary. \n\nThe White H\xe2\x80\xa6 https://t.co/qGObWjzpG0'"
b'Tue Apr 17 02:05:00 +0000 2018',986062944873172992,36514310,b'James Plummer',"b'RT @TomFitton: So Comey says ""hundreds of thousands"" of Clinton emails on Weiner  laptop.  This is news to @JudicialWatch--we were told 72,\xe2\x80\xa6'"
b'Tue Apr 17 02:05:01 +0000 2018',986062947678957568,751443710907387904,b'Vangie G',"b'RT @rolandsmartin: Wait. @SeanHannity is whining about @Comey, saying how could he make comments about @realDonaldTrump that he didn\xe2\x80\x99t have\xe2\x80\xa6'"
b'Tue Apr 17 02:05:02 +0000 2018',986062951647010816,635685492,b'RH Sibley',"b""RT @dekdarion: @5sahandful @HillaryClinton @DNC Good question!  I'd still like to know why they haven't investigated that the @DNC decided\xe2\x80\xa6"""
b'Tue Apr 17 02:05:03 +0000 2018',986062954146693120,828105812153421824,b'Blue State',"b""RT @DanDeFreest: @Cheekee996 @HillaryClinton Actually, she's waiting for Michelle to put out a statement so she can steal it."""
